None,ticker,Date,Open,High,Low,Close,Volume,Adj_Close
1084,AMZN,12/2/2013,399,399,389.1,392.3,4714000,392.3
1085,AMZN,11/29/2013,389.1,394.0999,388.62,393.62,2406000,393.62
1086,AMZN,11/27/2013,383.5,387,382.611,386.71,2269700,386.71
1087,AMZN,11/26/2013,377.61,382.5,374.8175,381.37,2724400,381.37
1088,AMZN,11/25/2013,373.82,377.79,373.18,376.64,2972300,376.64
1089,AMZN,11/22/2013,370,374.5,366.31,372.31,2965500,372.31
1090,AMZN,11/21/2013,364.05,369.25,363.3,368.92,1964600,368.92
1091,AMZN,11/20/2013,367.56,367.56,360.45,362.57,1771500,362.57
1092,AMZN,11/19/2013,365.82,368.78,362.5,364.94,1904800,364.94
1093,AMZN,11/18/2013,370.28,373.49,364.67,366.18,2737400,366.18
1094,AMZN,11/15/2013,367.63,372.9,365.55,369.17,4491600,369.17
1095,AMZN,11/14/2013,357.39,368.94,356.43,367.396,4159800,367.396
1096,AMZN,11/13/2013,347.4,356.22,345.68,356.22,2773300,356.22
1097,AMZN,11/12/2013,352.99,355.4826,347.282,349.53,2343100,349.53
1098,AMZN,11/11/2013,350.59,355.37,348.06,354.378,2261700,354.378
1099,AMZN,11/8/2013,345.95,351.05,344.04,350.31,2656900,350.31
1100,AMZN,11/7/2013,355.86,357.9,341.88,343.56,4246300,343.56
1101,AMZN,11/6/2013,360.45,362.87,354.5,356.18,2282300,356.18
1102,AMZN,11/5/2013,356.78,360.17,354.84,358.892,2007100,358.892
1103,AMZN,11/4/2013,360.12,361,354.4,358.74,1938400,358.74
1104,AMZN,11/1/2013,365.63,365.77,356.1,359.002,3331000,359.002
1105,AMZN,10/31/2013,361.73,366,359,364.03,2466800,364.03
1106,AMZN,10/30/2013,362.62,365,358.65,361.08,4502200,361.08
1107,AMZN,10/29/2013,358.96,362.89,356.29,362.7,2185400,362.7
1108,AMZN,10/28/2013,359.92,362.75,357.2,358.16,3635800,358.16
